,name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,morning,noon,evening,night
393,Some,Red Diary Page.1,BOL4,2017-09-28,181373,74,1,0,0.659,0.417,0.799,0.0,0.0562,-2.849,0.0629,103.991,4,0.782,0,1,1,1
394,Into the I-LAND,I-LAND Part.1 Signal Song,IU,2020-06-19,217322,57,0,1,0.521,0.139,0.926,0.0,0.124,-3.719,0.137,121.883,4,0.31,0,0,1,0
395,My My,Heng:garae,SEVENTEEN,2020-06-22,185253,47,0,1,0.686,0.131,0.882,0.0,0.0775,-3.384,0.0631,100.041,4,0.582,0,0,1,0
396,舞い落ちる花びら(Fallin' Flower),舞い落ちる花びら (Fallin' Flower),SEVENTEEN,2020-03-31,212333,62,9,0,0.641,0.348,0.85,0.0,0.227,-4.76,0.229,141.877,4,0.674,0,0,1,0
397,24H,24H,SEVENTEEN,2020-08-24,188986,60,7,0,0.752,0.0362,0.78,0.0,0.196,-4.475,0.063,122.088,4,0.774,0,0,1,0
398,DUMDi DUMDi,DUMDi DUMDi,(G)I-DLE,2020-08-03,210640,60,4,1,0.759,0.025,0.914,4.45e-06,0.076,-1.072,0.0592,123.047,4,0.674,0,0,1,0
399,HOME;RUN,; [Semicolon],SEVENTEEN,2020-10-19,184426,65,2,1,0.687,0.0613,0.942,0.0,0.173,-2.817,0.0741,96.106,4,0.765,0,0,1,0
400,Secret Story of the Swan,Oneiric Diary,IZ*ONE,2020-06-15,192333,67,7,0,0.703,0.131,0.941,0.0,0.319,-0.995,0.0808,102.969,4,0.758,0,0,1,0
401,Left & Right,Heng:garae,SEVENTEEN,2020-06-22,201773,54,6,0,0.728,0.149,0.831,0.0,0.1,-3.87,0.108,150.001,4,0.957,0,1,1,0
402,FIESTA,BLOOM*IZ,IZ*ONE,2020-02-17,217760,67,7,1,0.756,0.0617,0.927,0.0,0.343,-2.116,0.0594,123.005,4,0.723,0,1,1,1
403,Panorama,One-reeler / Act IV,IZ*ONE,2020-12-07,222853,69,9,0,0.726,0.0429,0.963,0.00157,0.128,-1.111,0.0916,126.062,4,0.769,0,0,1,1
404,BOY,THE FIRST STEP : TREASURE EFFECT,TREASURE,2021-01-11,196666,63,6,0,0.753,0.0522,0.76,0.0,0.379,-6.666,0.0482,110.01,4,0.69,0,0,1,1
405,Filter,MAP OF THE SOUL : 7,BTS,2020-02-21,180220,77,10,0,0.779,0.0224,0.762,0.0,0.121,-5.188,0.0631,110.043,4,0.859,0,0,1,0
406,Celebrity,IU 5th Album 'LILAC',IU,2021-03-25,195546,68,9,1,0.73,0.191,0.784,0.0,0.0956,-2.62,0.0691,99.995,4,0.673,0,1,1,1
407,Maria,María,Hwa Sa,2020-06-29,199026,49,9,0,0.667,0.238,0.745,2.06e-06,0.255,-2.96,0.0621,128.972,4,0.482,0,0,1,0
408,Love Shot,LOVE SHOT– The 5th Album Repackage,EXO,2018-12-13,200306,74,5,0,0.689,0.0702,0.678,0.0,0.0889,-4.287,0.119,145.883,4,0.335,0,0,1,0
409,Bye-Good-Bye,BE:1,BE:FIRST,2022-08-29,181018,67,2,1,0.878,0.109,0.654,0.0,0.0803,-5.225,0.0502,114.991,4,0.787,0,0,1,0
410,常緑,you,Chippoke Ohashi,2021-10-13,171546,70,11,1,0.725,0.0242,0.75,0.0,0.101,-5.694,0.0772,101.19,4,0.888,0,0,1,0
