,name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,id
30,新時代 - ウタ from ONE PIECE FILM RED,新時代 (ウタ from ONE PIECE FILM RED),Ado,2022-06-08,228214,78,7,1,0.494,0.0505,0.986,4.41e-06,0.334,-2.262,0.243,175.003,4,0.421,2l2yRJWgMiJkfPbRNiuC25
31,Voice,period,androp,2014-03-05,253426,23,2,1,0.542,0.0299,0.943,6.52e-06,0.107,-4.096,0.0428,140.016,4,0.636,14InQZYaroJFJJ2A0HvyIk
32,カラー・リリィの恋文,カラー・リリィの恋文,KAMI WA SAIKORO WO FURANAI,2022-07-15,227113,51,11,1,0.578,0.333,0.734,0.0,0.355,-4.988,0.0348,121.038,4,0.56,7Eojb2w0e8zV8r8M6z0geM
33,小喋日和,小喋日和,FantasticYouth,2022-04-14,227625,62,6,1,0.718,0.182,0.803,1.85e-06,0.111,-4.983,0.0318,110.009,4,0.889,4AElkruOc9gECdltSuV3JN
34,FLASH,4D,STARKIDS,2021-11-01,169361,35,1,0,0.428,0.000434,0.934,2.87e-05,0.101,-2.347,0.0716,180.907,4,0.215,5pDadR8DUGZeFS5UHXActY
35,FLOOR IS MINE,FLOOR IS MINE,Skaai,2022-07-13,195809,50,10,0,0.719,0.51,0.651,0.0,0.0687,-6.403,0.0712,104.997,4,0.563,1tbQ2lRPx8EvVhdaVbGSr3
36,Obsession,Obsession,Various Artists,2022-07-27,286385,38,2,1,0.875,0.0345,0.678,5.87e-06,0.27,-5.779,0.0756,119.99,4,0.412,0oz6Y9bbXGGmOSt6s4ifvO
37,Roomrunner!,Walk Through the Stars,ピーナッツくん,2022-06-01,76395,34,0,1,0.487,0.000881,0.869,0.00364,0.332,-6.578,0.101,165.148,4,0.76,3pvtzoGk8HhkuNh0ACZj7g
38,PetbottleRocket,Walk Through the Stars,ピーナッツくん,2022-06-01,179878,36,1,1,0.6,0.000868,0.745,0.000262,0.16,-8.424,0.0524,150.109,4,0.4,5AZ9Qoy1arDaTGxwK6Lr5P
39,Amami,Amami,13ELL,2021-07-16,171093,22,9,1,0.901,0.376,0.529,0.0,0.13,-6.56,0.0717,128.017,4,0.526,4WOnYDcHZN09JC0D2dA4D9
40,Sky Lady,Arte Frasco,Sweet William,2016-10-05,231500,38,10,0,0.761,0.198,0.736,0.000288,0.0624,-5.73,0.148,95.98,4,0.765,3YYTC5pZvYktHqfxdfsDUC
41,But She Cries Remix feat. BIM,DISTORTION,kZm,2020-04-22,240617,38,7,1,0.715,0.11,0.516,0.00243,0.0982,-7.962,0.197,77.021,4,0.368,0phUcjBraFJJI5iF28YuHK
42,Notion,Notion,Neetz,2018-10-10,213680,20,6,0,0.716,0.213,0.915,0.0,0.077,-5.095,0.282,91.014,4,0.751,3ZfMxH9dagbrNdhAUG1jb9
43,Super Cypher,COUNTER,WILYWNKA,2022-06-17,110138,35,10,0,0.887,0.0123,0.783,0.00655,0.0322,-8.278,0.0783,105.023,4,0.509,4gXWZWi00PEKjtT1u54JfL
44,春と修羅,eureka,Kinokoteikoku,2013-02-06,160626,29,9,1,0.356,0.0752,0.915,0.0,0.407,-1.185,0.0705,72.5,4,0.4,54zCGbgOeaOXsEFLgLuwzB
45,Best Way 2 Die,Best Way 2 Die,DJ CHARI,2020-05-22,214602,36,1,1,0.808,0.119,0.805,0.0,0.281,-3.175,0.308,132.085,4,0.584,2QSRnSbJuYVqGo43jX2Wey
46,Smash!!!,Smash!!!,DJ KANJI,2021-05-25,118360,45,10,1,0.798,0.398,0.704,0.0,0.362,-7.345,0.11,138.082,4,0.889,3j1yMfS0R573oDTQ3zeKxA
47,Get Light,KANDYTOWN,KANDYTOWN,2016-11-02,192309,41,4,0,0.463,0.00733,0.749,0.0,0.344,-6.194,0.316,164.17,4,0.678,5q9vOeFegILBnhZOI1tVEh
48,ノーワー,ノーワー,Regal Lily,2022-07-06,231106,31,6,1,0.531,0.0253,0.756,0.0,0.128,-2.944,0.0311,98.994,4,0.47,5wR7BslkEXWWy4ACoKG830
49,Bando,CookieTape vol.2,Cookie Plant,2020-09-27,164661,44,1,1,0.691,0.0572,0.833,0.0,0.193,-6.251,0.0472,102.115,4,0.607,5oJSBbCVRsEtoF4aYmYJXO
50,Mypace - Remix,Oll Korrect: OK TAPE,Various Artists,2020-09-26,190967,5,9,1,0.735,0.317,0.707,0.000209,0.526,-5.796,0.251,90.024,4,0.745,4zOWv7HZzuz6emGoCg4EYu
51,DA-DA-DA,SUSHIBOYSの騒音集 VOL.1,SUSHIBOYS,2020-07-15,163164,22,0,1,0.565,0.000523,0.598,1.93e-05,0.321,-8.458,0.051,122.901,4,0.405,3GoTT80VSiXNaTBdQZ4avs
52,Run It Back,"3rd High ""起死回生"" (mixed by DJ BULLSET)",Jin Dogg,2020-11-30,212583,27,1,1,0.789,0.0263,0.792,0.0,0.643,-6.738,0.415,129.932,4,0.968,4rgYKDMRr6zjkLgXmZllPc
53,That's Me,That's Me,WILYWNKA,2022-06-11,158634,31,6,1,0.868,0.0394,0.875,0.0,0.236,-4.483,0.202,93.053,4,0.964,1EavDJOeVkIipGH91XkV2m
54,LOYAL,LOYAL,Various Artists,2022-04-10,218500,35,11,0,0.898,0.452,0.622,0.0,0.122,-6.224,0.208,119.999,4,0.956,2zu9XEwlLPWNObbmivP6Fu
55,Fo,normal,dodo,2020-07-17,190000,50,8,1,0.664,0.656,0.616,0.000291,0.199,-7.096,0.0366,144.027,4,0.78,3uA6ROkvQWukbWlNqSCgFE
56,MY WAY,MUDOLLY RANGERS,MUDOLLY RANGERS,2019-12-07,167333,18,10,1,0.512,0.0288,0.823,0.0,0.269,-3.505,0.048,89.937,4,0.339,3KNWJOlVr2bcr5IF0F5x0t
57,COUCH POTATO,GOLDEN ROUTE,DJ CHARI,2020-12-25,243693,27,10,1,0.753,0.173,0.57,0.0,0.1,-7.306,0.0607,142.014,4,0.388,6FlHId69eV0s3ffTizS6Rs
58,Save Yourself,Save Yourself,ONE OK ROCK,2022-06-24,197995,56,5,1,0.56,0.00802,0.859,0.0,0.0541,-2.747,0.0694,82.52,4,0.768,1B04DTxiZUA5QW9Zxe1IEJ
59,Forgot About Dre,2001,Dr. Dre,1999-11-16,222293,80,8,1,0.924,0.0827,0.74,0.0,0.163,-1.299,0.0774,133.974,4,0.621,7iXF2W9vKmDoGAhlHdpyIa
60,Season,CLEOPATRA,Young Dalu,2019-08-31,240107,11,5,1,0.732,0.116,0.645,4.25e-06,0.268,-6.907,0.0292,140.079,4,0.409,7xOlzcYd0yE2QRb96MLoTP
61,living dead!!,living dead!!,(sic)boy,2022-06-22,147157,46,9,1,0.486,0.000593,0.919,2.09e-05,0.308,-2.73,0.0719,190.279,4,0.707,3oamfw1nAipiBdqnnaIMHL
62,Hip Hop Fury,Beneath The Surface,GZA,1999-06-29,224733,34,7,1,0.526,0.0453,0.83,0.0351,0.0755,-6.161,0.332,172.266,4,0.632,6PYfkGJkQkq0Mx9d9y240L
